====================================================================================================================================
particle                             MSE                RMSE                 MAE                MAPE                  R2               SMAPE
--------------------------------------------------------------------------------------------------------------------------------------------
type:N                    0.006021402637       0.07759769737       0.06147956266     2.581250633e+13        0.8943180387         59.32919417
type:P                    0.008270700104       0.09094338956       0.05617123546     6.340444541e+12        0.9696595823         35.35353795
type:G                     0.02278169257        0.1509360546       0.09804152454     2.117514875e+10        0.9899291952         18.06508076
type:C                      0.0795424922        0.2820327857        0.1717824791        0.2617885711         0.994574558         16.06418116
type:L                      0.0111284001        0.1054912323       0.06926637296     6.655046751e+10         0.985010468          20.2258673
type:W                       2.399864582         1.549149632         1.238827306         1.688946398        0.8023147227         36.62302651
name:P1                   0.004116632166       0.06416098632       0.03850600378     2.625718445e+12        0.9393420006         39.32732456
name:P2                   0.005511071178       0.07423658921       0.04682225451     5.142536126e+12        0.9263835756         30.43431554
name:L1                   0.002121880476       0.04606387387       0.02793764266     3.152072143e+12        0.9734587326         39.11342429
name:G1                   0.001734288116       0.04164478498       0.02348059308     1.436885094e+12          0.97518775         23.58419434
name:G2                  0.0003594437919       0.01895900293       0.01129813436     2.099364748e+12        0.9955368129         26.61902157
name:G3                   0.002797001287       0.05288668345       0.02857221097     1.542760838e+11        0.9640466954         21.13230014
name:L2                    0.01412463599        0.1188471118       0.07063250714     8.470059501e+11         0.784389348         29.21087508
name:C1                    0.02073160173        0.1439847274       0.08921187228          3025021251        0.6530742496          24.7779686
name:C2                    0.02369074048        0.1539179667       0.09771350721        0.6913831799         0.554969435         32.47091599
name:C3                  0.0006187094713       0.02487387126       0.01527736756          9075063752        0.9915927002         12.07792588
name:C4                   0.000548849364       0.02342753431       0.01376990614        0.2212342555        0.9923489376         11.66337259
name:C5                  0.0009675157333       0.03110491494       0.01666836368        0.2036183849        0.9904709043         15.19690441
name:C6                   0.001396054593       0.03736381395        0.0189367765      3.02502125e+10        0.9808231064         10.30978824
name:C7                   0.008008516967       0.08949031773       0.04590297375         0.232288478        0.8984860604         9.773949022
name:C8                    0.02256298582         0.150209806       0.06769049746        0.5368550058        0.8493417687         19.38232584
name:L3                   0.001888710802       0.04345930053       0.02703333119     2.916120485e+12        0.9764096468         24.46793981
name:G4                   0.005856281697       0.07652634642       0.04435817723     4.837008979e+12        0.9271409365         25.99235899
name:G5                   0.002290967376       0.04786405097       0.02890992709     1.917863473e+12        0.9695260826         21.27590555
name:G6                   0.003660166188       0.06049930733       0.03492991526          2.10651762        0.9508065664          16.6054224
name:C9                    0.01619156225        0.1272460697       0.07734571184        0.8264989531        0.7645356695         35.49237016
name:C10                   0.01397674755        0.1182232953       0.06456950126        0.4263250797        0.7916443824         33.80886579
name:C11                  0.002502211992       0.05002211503       0.02481364923         0.321672431        0.9742961541          27.5581118
name:C12                  0.001737138834       0.04167899752       0.02301095462          3025021250         0.975450636         8.869319853
name:C13                  0.001142463057       0.03380034108       0.01698459338          3025021250        0.9870750631         8.660873162
name:C14                  0.009210382365       0.09597073702       0.04511224679        0.6288695707        0.9424957253         22.42433843
name:L4                   0.002380199109       0.04878728429       0.02824952375     5.142536126e+10        0.9672204836         20.98786698
name:C15                   0.00469455126       0.06851679546       0.03934547411     8.772561626e+10        0.9350339787         24.22090774
name:C16                   0.01359574015        0.1166007725       0.06392145501     9.075063751e+10        0.8612088406         38.84314304
name:N                    0.006021402637       0.07759769737       0.06147956266     2.581250633e+13        0.8943180387         59.32919417
name:W                       2.399864582         1.549149632         1.238827306         1.688946398        0.8023147227         36.62302651
lipid:LA6                  0.05254913809        0.2292359878        0.1340721701          3025021251        0.9978028712         11.01187612
solvent                      2.399864582         1.549149632         1.238827306         1.688946398        0.8023147227         36.62302651
all                          2.455769394         1.567089466         1.303059316        0.1326106496        0.2346940801         6.786397123
ions                      0.006021402637       0.07759769737       0.06147956266     2.581250633e+13        0.8943180387         59.32919417
total                       0.4212682116        0.3760251319        0.2825947468     5.373446081e+12        0.9393010941         30.94348131
============================================================================================================================================
