====================================================================================================================================
particle                             MSE                RMSE                 MAE                MAPE                  R2               SMAPE
--------------------------------------------------------------------------------------------------------------------------------------------
type:N                    0.003179047741        0.0563830448        0.0451614043     1.525518217e+13        0.9442043622         57.51945407
type:P                     0.01429872319        0.1195772687       0.06407634786     1.421759988e+11        0.9475462501         27.13474501
type:G                      0.1067010466        0.3266512614        0.1860628846        0.3129370273        0.9528320644         23.32091927
type:C                       0.373335112        0.6110115481        0.3204437273        0.3804053942        0.9745355224         32.60677715
type:L                     0.05910922214        0.2431238823        0.1407216177          3025021251        0.9203821243         21.25309495
type:W                        4.73619757         2.176280674          1.72803529        0.5664862354        0.6098627659         47.14240075
name:P1                    0.01064892948        0.1031936504       0.05364282792     1.361259563e+11         0.843089513         34.40873758
name:P2                   0.001998693587       0.04470675102       0.02301563884      1.08900765e+11        0.9733016195         29.37124374
name:L1                   0.005363732574       0.07323750797       0.03681502949     6.352544626e+10         0.932908445         30.11916345
name:G1                    0.01126149596        0.1061201958       0.05744058905       1.2100085e+10        0.8388831414         31.29431543
name:G2                   0.008563447833       0.09253889903       0.04814015523       1.2100085e+10        0.8936682991         28.90191798
name:G3                    0.01326887752        0.1151906138       0.06120413321          6050042501        0.8294387644         24.20739798
name:L2                    0.01689514713        0.1299813338       0.07097804891     1.512510625e+10        0.7420978712         31.38010974
name:C1                    0.01758826801        0.1326207676       0.07633695364        0.4832773491        0.7056752703         36.79710665
name:C2                    0.01856135984        0.1362400816       0.07895505589         0.523796559        0.6513248514         39.80475214
name:C3                   0.008207080092       0.09059293622       0.04744816576        0.2991348865        0.8884785412         24.64122895
name:C4                   0.008031284436       0.08961743377       0.04926581049        0.2948452874        0.8880423981         24.78667051
name:C5                   0.001670391063       0.04087041794       0.02354987973        0.3022805794         0.983548261         25.44999324
name:C6                    0.01004158991        0.1002077338       0.05470534723        0.2890824081        0.8620637745         22.56879135
name:C7                    0.01662455088         0.128936228       0.06141167074        0.3231854568        0.7892713893         25.76376795
name:C8                    0.01174299451        0.1083650982       0.04345069773        0.3019759481        0.9215893323         22.26017745
name:L3                   0.006577804924       0.08110366776       0.04163591578       1.2100085e+10         0.917841979         25.01393762
name:G4                   0.004252568626       0.06521172154       0.03233024307     3.630025501e+10        0.9470930219         28.72322625
name:G5                   0.004345784401       0.06592256367       0.03418921123     2.117514875e+10        0.9421933824         22.20443479
name:G6                   0.004953445844       0.07038072068       0.03700691562        0.2918336592        0.9334246051         21.54097575
name:C9                    0.01608418386        0.1268234358       0.07083407874        0.4292605342        0.7660972099         35.19151362
name:C10                   0.01630520383        0.1276918315       0.07259054067         0.446209186         0.756933378         38.45750348
name:C11                   0.01115612533        0.1056225607       0.05322074784        0.4323563154        0.8853992676         38.27737012
name:C12                  0.006506262089       0.08066140396       0.04298948446        0.2559635845        0.9080530623         19.96991195
name:C13                   0.01085976445        0.1042101936       0.04596710825        0.2383825637        0.8771410859         18.94106835
name:C14                   0.00179942502       0.04241963013       0.01955315356        0.2952725163        0.9887654359         23.19450726
name:L4                   0.002163991411       0.04651872108       0.02333812146          3025021251        0.9701980428         16.15841821
name:C15                  0.005795206347       0.07612625268       0.04238680359          3025021251        0.9198024522         13.94710508
name:C16                   0.01158991999        0.1076564907       0.05339920927          9075063752        0.8816851149         18.86691831
name:N                    0.003179047741        0.0563830448        0.0451614043     1.525518217e+13        0.9442043622         57.51945407
name:W                        4.73619757         2.176280674          1.72803529        0.5664862354        0.6098627659         47.14240075
lipid:LA6                   0.3114950845        0.5581174469        0.3407026285        0.2569686009        0.9869760981         20.79022249
solvent                       4.73619757         2.176280674          1.72803529        0.5664862354        0.6098627659         47.14240075
all                          4.354100727         2.086648204         1.787573911        0.1865255323       -0.3568941247         9.649826696
ions                      0.003179047741        0.0563830448        0.0451614043     1.525518217e+13        0.9442043622         57.51945407
total                        0.882136787        0.5888379465        0.4140835453     2.566730531e+12        0.8915605149          34.8295652
============================================================================================================================================
