====================================================================================================================================
particle                             MSE                RMSE                 MAE                MAPE                  R2               SMAPE
--------------------------------------------------------------------------------------------------------------------------------------------
type:N                    0.006861462872       0.08283394758       0.06333293092     1.935711098e+13        0.8795740964         59.77179614
type:P                    0.006805433107       0.08249504898       0.05095100141     3.971852902e+12        0.9750347999          30.8114473
type:G                     0.01901479837        0.1378941564       0.09020963755       1.2100085e+10        0.9915943769         17.07830755
type:C                     0.06191083509        0.2488188801        0.1516979772        0.2475289609        0.9957771797         16.77972079
type:L                     0.01011254827        0.1005611668       0.06492184203     6.352544626e+10        0.9863787818         18.22155461
type:W                       2.275921186         1.508615652         1.205657928         1.695894227        0.8125243757          36.2789106
name:P1                   0.004228292592        0.0650253227       0.03850734716     1.533685774e+12        0.9376966998         35.12585414
name:P2                   0.004774065624       0.06909461356        0.0431118224     3.424324055e+12        0.9362284337         28.43299049
name:L1                   0.002265072855       0.04759278155       0.02833931307     1.860388069e+12        0.9716676292         37.38787585
name:G1                   0.001594249344       0.03992805209       0.02193302013     7.925555676e+11        0.9771912677         22.59527375
name:G2                  0.0003097836647       0.01760067228      0.009874000662     1.273533946e+12        0.9961534391         24.26182203
name:G3                    0.00237035094       0.04868625001       0.02631080243       1.2100085e+11        0.9695309581         18.58455181
name:L2                    0.01393536764        0.1180481581       0.07001420367     4.537531875e+11        0.7872785036         28.99179157
name:C1                    0.02035457734        0.1426694689       0.08787496803        0.5264595276        0.6593834326         22.70364488
name:C2                    0.02336355497        0.1528514147       0.09639772726        0.6679354819         0.561115615         33.25985269
name:C3                  0.0007274303833       0.02697091736       0.01588844548          9075063752         0.990115352         14.42050882
name:C4                  0.0006844826189       0.02616261873       0.01577295581        0.1791753637        0.9904581847         13.36111134
name:C5                  0.0007386797146       0.02717866286       0.01463986094          3025021251        0.9927247181         19.14663116
name:C6                    0.00112129079       0.03348568037       0.01684657025      1.81501275e+10        0.9845973974          10.2342689
name:C7                   0.007051048526       0.08397052177       0.04275648627        0.1732274378        0.9106226887         11.04863647
name:C8                    0.02019373117        0.1421046487        0.0635202363        0.4799932852        0.8651618254         19.68489855
name:L3                   0.001843177526       0.04293224343       0.02600833279     1.769637431e+12         0.976978366         24.75547717
name:G4                   0.005687757104       0.07541722021       0.04314537109     3.472724395e+12        0.9292375816         26.86015647
name:G5                   0.002244223014       0.04737323098       0.02873580932       1.4520102e+12        0.9701478653         19.09751754
name:G6                   0.003433197874       0.05859349686       0.03442614802         1.970167144        0.9538570701         16.87359268
name:C9                    0.01624685056        0.1274631341       0.07775446334         0.809918885        0.7637316442         36.00774602
name:C10                   0.01428041535        0.1195006918       0.06591424716        0.4324147972        0.7871175143         34.55921398
name:C11                   0.00298303832       0.05461719802       0.02711485796        0.3346809565          0.96935689         28.85101689
name:C12                  0.001592733896       0.03990907035       0.02258913352          9075063751        0.9774913764         13.77899933
name:C13                  0.001084840702       0.03293692004       0.01651709738          6050042501        0.9877269575         10.85538207
name:C14                  0.008655397632       0.09303438951        0.0437932024        0.6130062242        0.9459607274         24.68268731
name:L4                   0.002085894903       0.04567159843       0.02681396719      1.81501275e+10        0.9712735687         16.34064879
name:C15                  0.003697056383        0.0608034241       0.03434138623     4.537531876e+10        0.9488379122         22.71233192
name:C16                   0.01194898752        0.1093114245       0.05974354539     6.655046751e+10        0.8780195993          31.3208357
name:N                    0.006861462872       0.08283394758       0.06333293092     1.935711098e+13        0.8795740964         59.77179614
name:W                       2.275921186         1.508615652         1.205657928         1.695894227        0.8125243757          36.2789106
lipid:LA6                  0.05279457203        0.2297706944        0.1301416372        0.2209178593        0.9977926094         9.655811312
solvent                      2.275921186         1.508615652         1.205657928         1.695894227        0.8125243757          36.2789106
all                          2.379538736         1.542575358         1.282059765        0.1301724616        0.2584502903         6.666516302
ions                      0.006861462872       0.08283394758       0.06333293092     1.935711098e+13        0.8795740964         59.77179614
total                       0.3967710439         0.360203142        0.2711285528     3.900764902e+12        0.9401472684         29.82362283
============================================================================================================================================
