====================================================================================================================================
particle                             MSE                RMSE                 MAE                MAPE                  R2               SMAPE
--------------------------------------------------------------------------------------------------------------------------------------------
type:N                    0.002558232315       0.05057897108       0.03972007179     7.846905123e+12        0.9551003271          56.8446914
type:P                     0.01658660668        0.1287890006       0.06974809525     8.470059501e+10        0.9391533281         26.89601013
type:G                      0.1096193493        0.3310881292        0.1883466294        0.3088704968        0.9515420085         23.58194417
type:C                      0.3617227692        0.6014339276        0.3167843621        0.3733632168        0.9753275782         31.36556892
type:L                     0.05775382877        0.2403202629        0.1390517972        0.2682435087        0.9222077876         19.13260063
type:W                       4.678815172         2.163056905           1.7193134        0.6039744945        0.6145895557         47.25555375
name:P1                    0.01108713203        0.1052954511        0.0550942332     8.772561626e+10        0.8366326597         28.04256756
name:P2                   0.002477292918       0.04977241122       0.02594967561     7.562553126e+10        0.9669085299         32.54932847
name:L1                   0.005147565521       0.07174653665       0.03611915902     3.327523375e+10        0.9356123427         23.67090626
name:G1                    0.01118619438        0.1057648069       0.05742766291          3025021251         0.839960472         30.28047339
name:G2                   0.008317750973       0.09120170488       0.04782066871          3025021251        0.8967190989          25.2274124
name:G3                    0.01289522875        0.1135571607       0.06029571563         0.500831013        0.8342417326         21.81410428
name:L2                    0.01711397407        0.1308203886       0.07153525986       1.2100085e+10        0.7387575077         31.80141597
name:C1                    0.01781876953        0.1334869639       0.07684475101        0.4812247457        0.7018180231         36.44497164
name:C2                    0.01858327619        0.1363204907       0.07927343679        0.5157074505        0.6509131528         38.16649054
name:C3                   0.007933080452       0.08906784185       0.04666631901        0.2977116526        0.8922017703         24.62581814
name:C4                   0.007800572923       0.08832085214       0.04831469795        0.2935097138        0.8912585596         24.80506879
name:C5                   0.001757611661       0.04192387936       0.02450794576        0.3126687487        0.9826892223         27.42841089
name:C6                   0.009554609028       0.09774768042       0.05330420263        0.2881476906        0.8687531839         22.70285175
name:C7                    0.01600506655        0.1265111321       0.06031144309        0.3219410915        0.7971238163         25.85807003
name:C8                    0.01123585348        0.1059993089       0.04241629567        0.3038336479        0.9249756293         22.61953858
name:L3                   0.006453826724       0.08033571263       0.04138604723     1.512510625e+10        0.9193904901         29.50944841
name:G4                    0.00439065094       0.06626198714       0.03262309976     4.537531876e+10        0.9453751148         29.54097366
name:G5                   0.004371644656        0.0661184139       0.03388532372      1.81501275e+10        0.9418493953         23.82770063
name:G6                   0.005124192615       0.07158346607       0.03796548341        0.2974328494        0.9311297312           22.683189
name:C9                    0.01548465266        0.1244373443       0.06915754137        0.4195811185        0.7748158383         34.71460355
name:C10                   0.01587169001        0.1259828957       0.07202497799        0.4441450857           0.7633959         38.30516859
name:C11                   0.01118906815        0.1057783917        0.0530286446        0.4309465626        0.8850608642         38.04705291
name:C12                  0.006502905681       0.08064059574       0.04322268358        0.2598694545        0.9081004953         20.55795711
name:C13                   0.01100623699        0.1049106143       0.04641664173        0.2397558609        0.8754840098         19.11256309
name:C14                  0.001938655812       0.04403016934       0.02026382722        0.2963118434        0.9878961598         23.41140865
name:L4                   0.002089205802       0.04570783086       0.02286467067          3025021251        0.9712279718          15.3323074
name:C15                  0.005396193661       0.07345878886       0.04007817589          9075063751        0.9253242295          17.7484763
name:C16                   0.01054453536         0.102686588       0.05045317847        0.7047770945        0.8923568506         13.77349783
name:N                    0.002558232315       0.05057897108       0.03972007179     7.846905123e+12        0.9551003271          56.8446914
name:W                       4.678815172         2.163056905           1.7193134        0.6039744945        0.6145895557         47.25555375
lipid:LA6                   0.3019525449        0.5495020882        0.3359473929        0.2524667993        0.9873750806         20.36905527
solvent                      4.678815172         2.163056905           1.7193134        0.6039744945        0.6145895557         47.25555375
all                          4.271676114         2.066803356         1.771832865        0.1850172347       -0.3312076559         9.562793267
ions                      0.002558232315       0.05057897108       0.03972007179     7.846905123e+12        0.9551003271          56.8446914
total                       0.8711759931         0.585877866         0.412160726     1.321934286e+12        0.8929867642         34.17939483
============================================================================================================================================
