====================================================================================================================================
particle                             MSE                RMSE                 MAE                MAPE                  R2               SMAPE
--------------------------------------------------------------------------------------------------------------------------------------------
type:N                     0.00186218142       0.04315300013       0.03237750174     5.269587018e+12        0.9673167538         55.56820328
type:P                     0.01865134381        0.1365699228       0.07395246221     7.260051001e+10        0.9315790011         28.58691415
type:G                      0.1096034578        0.3310641294        0.1886448596        0.2957630629        0.9515490334         22.42740938
type:C                      0.3503426362        0.5918974879        0.3109755901          3025021251        0.9761037954         33.38621256
type:L                     0.05684919562        0.2384306935        0.1376224416        0.2452771876        0.9234262941         16.69303459
type:W                       4.580462251         2.140201451         1.701213379        0.6044835672        0.6226912314         47.45261137
name:P1                    0.01178735783         0.108569599       0.05658538422     6.655046751e+10        0.8263149305         25.48111323
name:P2                   0.002871812535       0.05358929496       0.02739112159     6.352544626e+10        0.9616385702         32.52077296
name:L1                   0.004919143025        0.0701366026       0.03497892333        2.420017e+10        0.9384695359         19.39966061
name:G1                    0.01126935112           0.1061572       0.05701845361          3025021251        0.8387707585         28.58563093
name:G2                   0.008145552092       0.09025271238       0.04705602149        0.3395406978        0.8988572798         21.20363839
name:G3                    0.01277734161        0.1130369038       0.06025407088          6050042501        0.8357570812         23.42799583
name:L2                    0.01762782758        0.1327698293       0.07283899397          6050042501        0.7309136036         28.24821582
name:C1                    0.01821940491        0.1349792759       0.07795277549         0.546732008        0.6951137301         36.22909336
name:C2                    0.01895374616         0.137672605       0.08024470002          3025021251        0.6439538743         40.31076539
name:C3                    0.00780558455       0.08834921929       0.04636002853        0.2939592365        0.8939342414         24.07824541
name:C4                   0.007762285255       0.08810383224       0.04799631706        0.2918586157        0.8917922968         24.57269287
name:C5                    0.00184925593       0.04300297582       0.02499559244        0.3147806592        0.9817866148           27.666151
name:C6                   0.009300944322       0.09644140357       0.05257206091        0.2842079549        0.8722376472         22.20197543
name:C7                    0.01564032723        0.1250612939        0.0595255662        0.3198195293        0.8017471599         25.56246375
name:C8                     0.0107827667        0.1038401016       0.04155921968        0.3039169761        0.9280009936          23.0381551
name:L3                   0.006488327637       0.08055015603       0.04090049983          3025021251        0.9189595672          24.7447247
name:G4                   0.004443811485        0.0666619193       0.03261638286          6050042502        0.9447137348         25.13469231
name:G5                   0.004280290928       0.06542393238       0.03358306338          3025021251        0.9430645615          23.5939318
name:G6                    0.00524971625       0.07245492564       0.03831341865        0.2918523279        0.9294426661         22.52505237
name:C9                    0.01521646839        0.1233550501       0.06835285717        0.4155609954        0.7787158837         34.49554184
name:C10                    0.0157447651        0.1254781459        0.0713103002        0.4434346352        0.7652880082         38.31175475
name:C11                   0.01115660518        0.1056248322       0.05319791039        0.4345824186        0.8853943384         38.67533045
name:C12                  0.006573466737       0.08107691864       0.04331426865         0.256132993        0.9071033217         19.92441257
name:C13                   0.01113072928        0.1055022714       0.04666785365        0.2376517277         0.874075601         18.70825153
name:C14                  0.001821132316        0.0426747269       0.01973988328        0.2958910651        0.9886299082         23.64324011
name:L4                   0.002015191614       0.04489088564         0.022214064        0.1899035361         0.972247277         13.66325731
name:C15                  0.005096294123       0.07138833324       0.03863915736          3025021251        0.9294744195         13.41664215
name:C16                  0.009925342463       0.09962601299       0.04893968583        0.6305033119        0.8986778378         13.28557917
name:N                     0.00186218142       0.04315300013       0.03237750174     5.269587018e+12        0.9673167538         55.56820328
name:W                       4.580462251         2.140201451         1.701213379        0.6044835672        0.6226912314         47.45261137
lipid:LA6                    0.292537798        0.5408676344        0.3306894064          3025021251          0.98776872         20.50563996
solvent                      4.580462251         2.140201451         1.701213379        0.6044835672        0.6226912314         47.45261137
all                          4.130088877          2.03226201         1.745500615        0.1822092603       -0.2870839891         9.399006825
ions                       0.00186218142       0.04315300013       0.03237750174     5.269587018e+12        0.9673167538         55.56820328
total                       0.8529618442        0.5802194474        0.4074643724     8.908687582e+11        0.8954443515         34.01906422
============================================================================================================================================
