====================================================================================================================================
particle                             MSE                RMSE                 MAE                MAPE                  R2               SMAPE
--------------------------------------------------------------------------------------------------------------------------------------------
type:N                    0.002613303442       0.05112047968         0.040975166     3.912889943e+12        0.9762734567         26.38321442
type:P                    0.009214674459       0.09599309589        0.0663874558     1.401464879e+10         0.981770822         21.58877614
type:G                      0.4249986022        0.6519191685        0.4278964599        0.4650448042        0.6562780087          38.9121214
type:C                      0.8416665743        0.9174238793        0.5072993279         0.467082655         0.924286556         26.13227382
type:L                      0.7565925786        0.8698233031         0.613318086     3.279427817e+11        0.5888358886         44.84720844
type:W                       3.066425004         1.751121071         1.454328151        0.5140286104        0.6642056489         44.59737815
name:P1                    0.01486981814        0.1219418638        0.0741362017          8408789275        0.6207590971         36.90408505
name:P2                    0.02284955808        0.1511607028       0.09083177665          2802929759        0.4275857051         42.19378893
name:L1                    0.02988225348        0.1728648417         0.100844824        0.4604905976        0.2545718006         37.14938793
name:G1                    0.04517996578        0.2125557945        0.1206229423         0.567135076      -0.07474300658         47.81398271
name:G2                    0.05271482965        0.2295971029        0.1271499049        0.5871047251       -0.2917354416         48.00944453
name:G3                    0.06450259397        0.2539736088        0.1375477294        0.5503575697       -0.5060165051         44.05088798
name:L2                    0.04768934478        0.2183789019        0.1225894505         0.592786511       -0.1409404389         49.81680305
name:C1                    0.02999860243        0.1732010463       0.09863083639        0.4675659186        0.2619986367         30.65786043
name:C2                    0.02462107419        0.1569110391       0.08158627744          2802929759        0.5172852288         27.14797093
name:C3                    0.05287850259        0.2299532617        0.1271395833         0.405852707       -0.1657394379         30.73549664
name:C4                    0.04394477964        0.2096301019        0.1070525513        0.3441468444        0.2783277166         26.06880355
name:C5                    0.01863646651        0.1365154442       0.06768378849          5605859517        0.7860892168         28.14621661
name:C6                    0.05318319254        0.2306148142        0.1240387914        0.4020290642         -0.13408335         30.31392197
name:C7                    0.03763417781        0.1939953036       0.09328253771        0.3448354631        0.4672715839         27.17646383
name:C8                    0.01439336037        0.1199723317       0.05300378492     1.121171903e+10        0.8560290775         19.57847979
name:L3                    0.04572107576        0.2138248717        0.1202465441        0.5359962732      -0.08950005655         41.85909007
name:G4                    0.06153190449        0.2480562527        0.1345837362        0.4660200274       -0.4084636936         35.01045503
name:G5                    0.04057063178        0.2014215276        0.1112992587        0.4921629663       0.07828643667         40.50733102
name:G6                    0.03533161085        0.1879670472        0.1041127815        0.4162178064         0.228913475         33.70806064
name:C9                    0.04390251514        0.2095292704        0.1125164064        0.4136139432       0.07960151951         32.65067365
name:C10                   0.03265122258         0.180696493       0.09627374777        0.3514559135        0.4694406433         29.44568193
name:C11                   0.03932205999        0.1982979072       0.08956874573        0.3944422429        0.5521649858         34.35850145
name:C12                   0.03634873505        0.1906534423        0.1014981945        0.3586570667        0.2720437515         28.44839334
name:C13                    0.0151305339        0.1230062352       0.06306469655        0.3345370656        0.8033950608         29.63799701
name:C14                   0.02905021843        0.1704412463       0.07180725042         0.311632133        0.7250393483         25.87847041
name:L4                    0.04662039296        0.2159175606        0.1230931181        0.6318165247       -0.1015220573         53.27253563
name:P3                    0.04629130865        0.2151541509        0.1225445288        0.5924087106       -0.1208659155         49.58768954
name:L5                    0.03616480196         0.190170455        0.1094335065        0.5427680582        0.1214082242         45.31604254
name:L6                    0.01654174588        0.1286147187       0.08309272896        0.4956330272          0.57116581         40.55362936
name:P4                    0.04982181529         0.223208009        0.1350144645          8408789276        -0.297966215         52.05544151
name:L7                    0.04102600228        0.2025487652        0.1247733811          2802929760       -0.2770209539         57.61757033
name:L8                    0.06454118043        0.2540495629         0.165536366     1.485552772e+11        -1.022470202         64.63868708
name:L9                    0.06929763346        0.2632444367        0.1890771503      3.25139852e+11        -1.349042904         74.43011113
name:N                    0.002613303442       0.05112047968         0.040975166     3.912889943e+12        0.9762734567         26.38321442
name:W                       3.066425004         1.751121071         1.454328151        0.5140286104        0.6642056489         44.59737815
lipid:lre                    43.38687726         6.586871584         5.236796329       2.3584434e+16                   0                  94
solvent                      3.066425004         1.751121071         1.454328151        0.5140286104        0.6642056489         44.59737815
all                          5.402000213         2.324220345          1.89367098        0.1725121966       -0.4954301029         9.092975598
ions                      0.002613303442       0.05112047968         0.040975166     3.912889943e+12        0.9762734567         26.38321442
total                       0.8502517895        0.7229001662        0.5183674411     7.091412289e+11        0.7986083968          33.7434954
============================================================================================================================================
