====================================================================================================================================
particle                             MSE                RMSE                 MAE                MAPE                  R2               SMAPE
--------------------------------------------------------------------------------------------------------------------------------------------
type:N                    0.002537437309       0.05037298194       0.03672282044     2.805732688e+12        0.9769622558         27.12292778
type:P                     0.01039606825        0.1019611115       0.07169176597     4.736951292e+11         0.979433698          28.5151023
type:G                      0.1246526859        0.3530618726        0.2397048956        0.3424459888        0.8991858581         27.60164238
type:C                      0.4923653494        0.7016875012        0.4100770976     2.802929758e+10        0.9557084985         28.68101886
type:L                      0.6580741917        0.8112177215        0.5794592122     2.999134841e+12        0.6423749083          47.3522733
type:W                        1.36007021         1.166220481         0.959507702        0.4049220259        0.8510630806         33.16719889
name:P1                   0.007998389622       0.08943371636       0.05521667708     1.289347689e+11        0.7960085003         34.76295964
name:P2                    0.01772481505         0.133134575       0.08132350818     8.969375227e+10         0.555967889          35.5476448
name:L1                    0.01383646208        0.1176284918       0.06980231344          2802929759         0.654842329         30.00386859
name:G1                     0.0187413474        0.1368990409       0.08299177833         0.470838528        0.5541800064         39.03515885
name:G2                    0.02299312847        0.1516348524       0.08781129507        0.4845220205        0.4365714704         39.50517028
name:G3                     0.0256808201        0.1602523638       0.09307303173         0.442403752        0.4004002543         35.59180173
name:L2                     0.0205674342        0.1434135077       0.08481844295        0.4940301213        0.5079358394         40.98851948
name:C1                    0.01484790488        0.1218519794       0.06828272899     1.121171903e+10        0.6347238487         26.35586207
name:C2                     0.0131827932        0.1148163455        0.0568646929      3.36351571e+10        0.7415413742         25.28166122
name:C3                    0.02265366454        0.1505113436       0.08563813033        0.2952927773        0.5005858926         21.12371209
name:C4                    0.01802464819        0.1342559056       0.07138479684        0.2293168873        0.7039946696         15.99699499
name:C5                   0.008938714005       0.09454477249       0.04899558014          2802929759        0.8974007592         18.17623184
name:C6                     0.0233499304        0.1528068402       0.08339272002          2802929759        0.5020839099         23.85834008
name:C7                    0.01311435396        0.1145179198       0.05624745656          0.26536037        0.8143605249         20.61949828
name:C8                   0.005301585855       0.07281198978       0.03206427933     3.643808686e+10        0.9469703956         16.56743593
name:L3                    0.01831859685        0.1353462111       0.07782045659         0.413780018        0.5634811306         31.76915481
name:G4                    0.02624587142        0.1620057759       0.09095281353          5605859517        0.3992326858          25.1244771
name:G5                    0.02167091892        0.1472104579       0.08289411261          0.39432826        0.5076640658           31.318379
name:G6                    0.02114013429        0.1453964728       0.08226130165        0.3517050202         0.538632055         27.77439747
name:C9                    0.03296247733        0.1815557141        0.1022174105        0.4003968314        0.3089549893         31.04348366
name:C10                    0.0349173784        0.1868619233        0.0945371081        0.3473561613        0.4326172084         28.35701856
name:C11                   0.01955349716        0.1398338198       0.06700390211        0.3454050456        0.7773071736         28.93872342
name:C12                   0.02061737641        0.1435875218       0.07861045797        0.3138999558         0.587095728         25.18238218
name:C13                   0.01588294897        0.1260275723       0.06352341919         0.325367015        0.7936182399         27.82573504
name:C14                   0.01128424712         0.106227337       0.04592413989        0.6265916467        0.8931944712         17.99083438
name:L4                    0.02349795035        0.1532904118       0.09166531833     1.121171903e+10        0.4448028219         45.03417792
name:P3                    0.01990916151        0.1410998282       0.08400679886        0.4950729675        0.5179332538         41.26400852
name:L5                     0.0162953843        0.1276533756       0.07706352681        0.4326112497        0.6041180968         34.73808832
name:L6                    0.01096422274        0.1047101845       0.06807017003          5605859517        0.7157595329         34.80835503
name:P4                    0.04047744005        0.2011900595        0.1313265299     3.727896579e+11      -0.05452499779         64.24128888
name:L7                    0.03791705481        0.1947230208         0.129599376     2.214314509e+11       -0.1802483991           69.018666
name:L8                    0.06265716731        0.2503141373        0.1726047578      1.73501352e+12       -0.9634325396          77.4840353
name:L9                    0.07384858458        0.2717509606        0.2022957677     2.497410415e+12        -1.503310502         80.41319922
name:N                    0.002537437309       0.05037298194       0.03672282044     2.805732688e+12        0.9769622558         27.12292778
name:W                        1.36007021         1.166220481         0.959507702        0.4049220259        0.8510630806         33.16719889
lipid:lre                    43.13518473         6.567738175         5.236795707     2.358443119e+16                   0                  98
solvent                       1.36007021         1.166220481         0.959507702        0.4049220259        0.8510630806         33.16719889
all                          3.506062799         1.872448343         1.536347589        0.1384855394       0.02942028045         7.231850655
ions                      0.002537437309       0.05037298194       0.03672282044     2.805732688e+12        0.9769622558         27.12292778
total                       0.4413493238        0.5307536116        0.3828605823     1.051098659e+12        0.8841213832         32.07336059
============================================================================================================================================
