====================================================================================================================================
particle                             MSE                RMSE                 MAE                MAPE                  R2               SMAPE
--------------------------------------------------------------------------------------------------------------------------------------------
type:N                    0.003127442737       0.05592354367       0.04445903876      1.27253011e+12        0.9716055149         27.28283963
type:P                     0.01030204725        0.1014990013       0.06963482534     1.962050831e+10        0.9796196975         23.10626508
type:G                      0.4212964485        0.6490735309        0.4268533587        0.4645569499        0.6592721636         38.88120879
type:C                      0.8404901289        0.9167824873        0.5040256331          2802929759         0.924392385          27.8936437
type:L                      0.7766885494        0.8812993529        0.6218533427     3.447603603e+11        0.5779148959         43.30737747
type:W                       3.003414455         1.733036196         1.437155568        0.5110589706        0.6711057316         44.33143403
name:P1                     0.0153342316        0.1238314645       0.07554028067          2802929759        0.6089146632         36.14079473
name:P2                     0.0232459676        0.1524662835       0.09150145262          5605859517        0.4176550766          42.4773389
name:L1                    0.03019514627        0.1737675064         0.101559311        0.4631204236        0.2467665288         37.46314575
name:G1                      0.045375283        0.2130147483        0.1209702278        0.5680073811      -0.07938922133         47.86217938
name:G2                    0.05317265989        0.2305919771        0.1281108526        0.5896686794       -0.3029542117         48.15289505
name:G3                    0.06452398962        0.2540157271        0.1374830024        0.5505937701       -0.5065160541         44.03990602
name:L2                    0.04782585678        0.2186912362        0.1229927498        0.5935744787        -0.144206411         49.84352134
name:C1                    0.03037664602        0.1742889728       0.09936051089          2802929759        0.2526983139         33.87367248
name:C2                    0.02501045463          0.15814694        0.0822016801          2802929759         0.509651131         25.13864678
name:C3                    0.05302079348        0.2302624448        0.1275827146         0.406939962       -0.1688763292         30.81383994
name:C4                    0.04436820802        0.2106376225        0.1075653887         0.345512235        0.2713740687         26.21878506
name:C5                    0.01938126798        0.1392166225       0.06883393829          5605859517        0.7775403287         27.62269668
name:C6                    0.05360933775        0.2315369036        0.1246823276        0.4035730312       -0.1431705101         30.42866869
name:C7                    0.03813429354        0.1952800388       0.09369330549        0.3463920104        0.4601922246         27.35402154
name:C8                    0.01489164514        0.1220313285       0.05409916568          5605859517        0.8510449378         21.79549827
name:L3                    0.04580681084        0.2140252575        0.1201295375        0.5348542744      -0.09154306128         41.67633148
name:G4                    0.06208363608        0.2491658806        0.1350828813        0.4672348415       -0.4210928153         35.04002093
name:G5                    0.04079622463        0.2019807531        0.1115643906        0.4926201948       0.07316125176         40.52507487
name:G6                    0.03570853582        0.1889670231        0.1044090322        0.4168188334        0.2206873636         33.73580306
name:C9                    0.04475866272        0.2115624322        0.1136528639        0.4158871947       0.06165273149         32.75344904
name:C10                    0.0334047341        0.1827696203       0.09744007933        0.3535608574        0.4571966122         29.59230587
name:C11                   0.04052502232        0.2013082768       0.09084461537          0.39716826         0.538464568         34.67797188
name:C12                   0.03661475798        0.1913498314        0.1015741243         0.358662765        0.2667161093         28.42720284
name:C13                   0.01566807752        0.1251721915       0.06409037126        0.3363446252        0.7964102623         29.78821628
name:C14                   0.02978448071        0.1725818087       0.07274952682          2802929759        0.7180895475          27.1693309
name:L4                    0.04687400592        0.2165040552        0.1230383491        0.6317452835       -0.1075142907         53.24181037
name:P3                    0.04659269625        0.2158534138        0.1226254376        0.5928000582       -0.1281635076         49.64332228
name:L5                    0.03635142724        0.1906605026        0.1095739298        0.5434504476        0.1168743286         45.40354689
name:L6                    0.01683362848        0.1297444738       0.08389310376        0.4979524065        0.5635989401          40.7085489
name:P4                    0.05117346953        0.2262155378        0.1372400791     1.401464879e+10        -0.333179736         53.19863888
name:L7                    0.04199444711        0.2049254672        0.1260367664          2802929760       -0.3071658445         58.12358879
name:L8                    0.06594385751        0.2567953612        0.1672653249     1.457523474e+11         -1.06642466          67.0961994
name:L9                      0.070344668        0.2652256926        0.1909044445     3.391545008e+11        -1.384535156         72.72918716
name:N                    0.003127442737       0.05592354367       0.04445903876      1.27253011e+12        0.9716055149         27.28283963
name:W                       3.003414455         1.733036196         1.437155568        0.5110589706        0.6711057316         44.33143403
lipid:lre                    43.30719317         6.580820098         5.236796329       2.3584434e+16                   0                  92
solvent                      3.003414455         1.733036196         1.437155568        0.5110589706        0.6711057316         44.33143403
all                          5.360964581         2.315375689         1.892120021        0.1723703538       -0.4840702514         9.081115689
ions                      0.003127442737       0.05592354367       0.04445903876      1.27253011e+12        0.9716055149         27.28283963
total                       0.8425531787        0.7229356853        0.5173302945     2.732856514e+11        0.7973183981         34.13379479
============================================================================================================================================
