====================================================================================================================================
particle                             MSE                RMSE                 MAE                MAPE                  R2               SMAPE
--------------------------------------------------------------------------------------------------------------------------------------------
type:N                    0.003004028664       0.05480901991       0.04462406855     1.928415674e+12        0.9727260084         28.72735499
type:P                      0.0152855617        0.1236347916       0.08127517545     1.401464879e+10        0.9697609258         23.60841481
type:G                      0.4331410702         0.658134538        0.4366246603        0.4686958778         0.649692704         39.16738781
type:C                      0.7532321748        0.8678894946        0.4941578733          8408789276        0.9322418118         32.00737694
type:L                      0.9994672617        0.9997335954        0.7227449439     7.315646669e+11        0.4568476083         49.42111338
type:W                       2.473138902         1.572621665         1.298395869        0.4758078575        0.7291745039         39.91899091
name:P1                    0.01393790853        0.1180589198       0.07158775012          8408789275        0.6445265862          34.3614738
name:P2                     0.0211495685        0.1454289122       0.08781947957        0.4884707423        0.4701728892         40.16439003
name:L1                    0.03499266878        0.1870632748        0.1065548274        0.4750822678        0.1270898596         38.35551334
name:G1                     0.0518453625        0.2276957674        0.1276147079         0.583960687       -0.2332997562          48.8504725
name:G2                    0.06014131886        0.2452372705         0.134928353        0.6059420437       -0.4737157191          48.8743533
name:G3                    0.07303488692        0.2702496751        0.1452766159        0.5693500633       -0.7052297959         44.85051148
name:L2                    0.05150820835        0.2269541988         0.125134966        0.5986606186        -0.232304577         50.26971152
name:C1                    0.03491271391        0.1868494418        0.1049107678          2802929759        0.1411056393         34.50791079
name:C2                    0.03071789422        0.1752652111       0.09092240464     1.121171903e+10        0.3977524635         32.33454321
name:C3                    0.06110908325        0.2472025146        0.1340043843        0.4214057874       -0.3471877015         31.76840737
name:C4                    0.05455446926        0.2335689818        0.1185714758        0.3671794936        0.1040927109         27.78440459
name:C5                    0.02797185825        0.1672478946       0.08152938051         0.307437568        0.6789368787         26.28542975
name:C6                    0.06204374023         0.249085809        0.1322079716        0.4213707004        -0.323026494         31.50310457
name:C7                    0.04725650956        0.2173856241        0.1041703735         0.367084003        0.3310632261         29.04932275
name:C8                    0.02312989688        0.1520851632       0.06712797295          5605859517        0.7686410605         24.17255443
name:L3                    0.04925621128         0.221937404        0.1248819963        0.5473650752       -0.1737397705         42.60831549
name:G4                    0.07233173364        0.2689455961        0.1447301871        0.4905651545       -0.6556715021         36.13865537
name:G5                    0.04391645166        0.2095625245        0.1156200488        0.5022871645      0.002273630544         41.32333276
name:G6                    0.03948059112        0.1986972348        0.1100278376        0.4299145747        0.1383650198          34.7201292
name:C9                    0.04812558378        0.2193754402         0.117009957        0.4230178646     -0.008933407321         33.36253419
name:C10                   0.03939200711        0.1984741976        0.1049384585        0.3670299439        0.3599076452         30.62486563
name:C11                   0.05406658656        0.2325222281        0.1022575121        0.4159929176        0.3842410452         36.56529538
name:C12                   0.04062017944         0.201544485        0.1067000084        0.3691871863        0.1864995191         29.19314317
name:C13                   0.02013721035        0.1419056389       0.07176052607        0.3505856212        0.7383387101         31.10153005
name:C14                    0.0427860118        0.2068477986       0.08594886496        0.3427593009        0.5950299061          29.4239264
name:L4                    0.05537143703        0.2353113619        0.1297855344        0.6516742225       -0.3082871114         53.88926281
name:P3                    0.05301248628        0.2302444055        0.1293363399        0.6078997538       -0.2836078888         50.51604918
name:L5                    0.04308795939        0.2075763941        0.1185007703        0.5622768776      -0.04678374294         46.44697896
name:L6                    0.02217265844        0.1489048637       0.09408138956        0.5225273514        0.4251880005         42.25214616
name:P4                      0.065160325        0.2552652052         0.156541656     1.401464879e+10       -0.6975676199         57.53868953
name:L7                    0.05478363611        0.2340590441        0.1477652701          5605859520       -0.7052563585         63.76311754
name:L8                     0.0817716272         0.285957387        0.1876749564     2.915046949e+11        -1.562405556         70.94973267
name:L9                    0.08137654267        0.2852657404        0.2086284377     7.119441586e+11        -1.758492326         77.44078288
name:N                    0.003004028664       0.05480901991       0.04462406855     1.928415674e+12        0.9727260084         28.72735499
name:W                       2.473138902         1.572621665         1.298395869        0.4758078575        0.7291745039         39.91899091
lipid:lre                    42.53810179         6.522124025         5.236796329       2.3584434e+16                   0                  94
solvent                      2.473138902         1.572621665         1.298395869        0.4758078575        0.7291745039         39.91899091
all                          5.294992753         2.301085125          1.88879059        0.1716290426       -0.4658073388         9.031599349
ions                      0.003004028664       0.05480901991       0.04462406855     1.928415674e+12        0.9727260084         28.72735499
total                       0.7795448332        0.7128038508        0.5129704318     4.470672965e+11         0.785073927         35.47510647
============================================================================================================================================
