====================================================================================================================================
particle                             MSE                RMSE                 MAE                MAPE                  R2               SMAPE
--------------------------------------------------------------------------------------------------------------------------------------------
type:N                    0.002287744347       0.04783037055       0.03846322785     5.577830219e+12        0.9792292527         27.41659853
type:P                     0.00939096987       0.09690701662       0.06883636284     3.503662198e+11        0.9814220609         26.14040642
type:G                      0.1414826685        0.3761418196        0.2552381416        0.3541894568        0.8855744365         28.67961931
type:C                      0.4992202101        0.7065551713        0.4099912098     2.802929758e+10        0.9550918587         26.47282282
type:L                      0.6640583271        0.8148977403        0.5812617305     2.494607485e+12        0.6391228784         47.56036642
type:W                       1.447380461         1.203071262        0.9912320448        0.4114900827        0.8415020155         33.73765201
name:P1                   0.008405633581       0.09168224245       0.05621766005     9.529961178e+10        0.7856221214         32.79775505
name:P2                    0.01831931181        0.1353488523       0.08248486074     7.848203323e+10        0.5410748901         35.94945087
name:L1                    0.01493609064        0.1222132998       0.07247354878        0.3736542922        0.6274115284         29.20742391
name:G1                    0.02087401308        0.1444784174       0.08696377833        0.4829027951        0.5034480616         40.25375033
name:G2                    0.02517635131        0.1586705748       0.09164263822        0.4964625947        0.3830733118         40.66666318
name:G3                    0.02850999533        0.1688490312       0.09761512762        0.4512107833        0.3343442351         36.10382689
name:L2                    0.02236476761         0.149548546       0.08839461217        0.5036181569        0.4649356603         41.74096212
name:C1                    0.01583134812        0.1258226852       0.07044112698          8408789276        0.6105299732         27.06315804
name:C2                    0.01401025418        0.1183649195       0.05866210266      3.36351571e+10        0.7253183762         21.48705753
name:C3                     0.0250962823        0.1584180618       0.08986178454          2802929759        0.4467368668         25.56524534
name:C4                     0.0196461586        0.1401647552       0.07475309267         0.240764314        0.6773658156         16.24822151
name:C5                   0.009011550972       0.09492918925       0.04918715698     1.401464879e+10         0.896564731         22.04101805
name:C6                    0.02568646896        0.1602699877       0.08715062287        0.3099140595        0.4522593441         22.48256429
name:C7                    0.01505699522        0.1227069485       0.05988959758        0.2697830717        0.7868615795         20.60843914
name:C8                   0.005235533482       0.07235698641       0.03176678387     6.166445468e+10        0.9476310906         18.03262361
name:L3                    0.01983471182        0.1408357619       0.08082354174        0.4275099114        0.5273532109         30.61321713
name:G4                    0.02887966655        0.1699401852       0.09522106424        0.3520234081        0.3389451837         24.52941233
name:G5                    0.02278974503        0.1509627273        0.0846218268        0.4000525593        0.4822457482         31.75981068
name:G6                    0.02201560632        0.1483765693       0.08399764877        0.3559711781        0.5195255193         27.98022549
name:C9                     0.0335971186         0.183295168        0.1018514538        0.3969931201        0.2956499915         30.93615482
name:C10                   0.03421067223        0.1849612722       0.09411887181        0.3469106874        0.4441006856         28.43857416
name:C11                    0.0201412667        0.1419199306       0.06826110048        0.3341984318         0.770613125         27.63096523
name:C12                   0.02120711413        0.1456266258       0.07958386805         0.315394475        0.5752850484         25.23498162
name:C13                   0.01494483963        0.1222490885       0.06216664076        0.3247932945        0.8058079571         27.98138774
name:C14                   0.01155983969        0.1075166949       0.04620669834        0.3926286784        0.8905859844         17.38991157
name:L4                    0.02507287369        0.1583441621       0.09489555472        0.7303368191        0.4075913639         43.76352685
name:P3                    0.02194707765        0.1481454611       0.08731534665        0.5044476277        0.4685885536         42.17451469
name:L5                     0.0178089745        0.1334502698       0.08017664872        0.4535643775        0.5673467657         36.78747755
name:L6                    0.01147465121        0.1071197984       0.06961739536          5605859517        0.7025270009          32.2254141
name:P4                    0.04074457976        0.2018528666        0.1306332036     2.690812568e+11      -0.06148456577         61.68660398
name:L7                    0.03802739282        0.1950061353        0.1285624985     1.653728558e+11       -0.1836829026         68.58439099
name:L8                    0.06292421213        0.2508469895         0.171859152     1.538808437e+12       -0.9718006883         75.30891788
name:L9                    0.07381941155        0.2716972792        0.2013292187     2.130226616e+12        -1.502321598         80.29511363
name:N                    0.002287744347       0.04783037055       0.03846322785     5.577830219e+12        0.9792292527         27.41659853
name:W                       1.447380461         1.203071262        0.9912320448        0.4114900827        0.8415020155         33.73765201
lipid:lre                    43.20961604         6.573402166         5.236796329       2.3584434e+16                   0                  98
solvent                      1.447380461         1.203071262        0.9912320448        0.4114900827        0.8415020155         33.73765201
all                          3.601442688          1.89774674         1.542453714        0.1389852042      0.003016364874         7.265676968
ions                      0.002287744347       0.04783037055       0.03846322785     5.577830219e+12        0.9792292527         27.41659853
total                       0.4606367301        0.5409005633        0.3908371196     1.408472204e+12        0.8803237505         31.66791092
============================================================================================================================================
