            C,W            G,C            G,W                      MSE                     RMSE                      MAE                     MAPE                       R2                    SMAPE
  37.2507533419   0.5298493745  12.5356517625             1.1176034556            0.67654476053            0.47647310722            4224718464300             0.8612113093             38.727615654
  24.2469905438   5.2028444622  -7.1429392337            0.85449901866            0.79299017984            0.58785071775           52156917360000            0.66317526464             54.219101007
  31.7988446312  14.0892258988   6.1334018509            0.86830990061             0.5804238569            0.41204495929            5226705140200            0.88824486478             30.905302071
  22.3884302481   6.8541542245  -8.4214341391             1.2633376204            0.96739964039            0.74012279351          135000441480000            0.46985967491              61.30396893
  45.7154361123  -6.3864873912  -5.5668766633            0.97442429703            0.65136244308            0.45421906265            4569105859100            0.87828187472             39.146390988
  28.9301721087  15.4450585812  19.2470816635              1.112743635            0.65824714766            0.46354238615            4501801723600            0.86161768814             34.639146908
  41.0287178622   7.7559575265  -9.2555843508            0.76955238106            0.57713530353            0.40504699261            5355194853400            0.89148862412             33.279848307
  44.9266362733  21.3671726542  19.7489978299             1.4818124379            0.81612853503            0.56714256019            3215156431300            0.77643548916              42.93672213
  46.6917259857  -8.4419854747  -7.0196233783            0.96575770396            0.65188440007            0.45376612173            4570562658700            0.87833352012             39.417744066
  38.9555695124  21.2340909735   0.7681104054            0.73198658559            0.58731260307            0.42935149059            9773376287200             0.8622483689             40.706942691
  51.2969256403 -11.0179844049   0.8797013925             1.1766067168            0.73827879396            0.50635299801            3704932413300            0.83802432273             41.419063322
  29.9809030451  20.4482153840 -14.8996079699              0.957849348            0.81509545816            0.63828980767          232805296170000            0.57246238122             59.396687571
  25.2276210359 -12.6215554783   7.1305491388            0.73902739407            0.55117303215            0.38443828743            5326058864000            0.90093528277             36.023185665
  40.6885513574   7.5983754485 -11.0107091060            0.68732876451            0.53234296031            0.37977378153            5766595024000            0.90291184112             30.800080006
  17.2423613293  14.6368272255 -11.6020266254             4.6623686773             1.6843324782             1.4408585382          910224333950000           0.035284610924              67.01456806
  19.4418596686  -6.5681029282 -10.5892712397            0.83719955196            0.79040751472            0.59060209869           70523079645000            0.64536081399             57.292084193
  25.3500626460 -11.2596368839  -8.5233740380            0.45049475691            0.38184182004            0.28371103139            8976506977000            0.94193316176             28.473731133
  23.3596427433  25.3899470995  -5.9770812106            0.95124435482            0.78987836132            0.62169198987          261007185760000            0.58964039555             58.764170364
  40.8343646537   0.2775790302 -11.4866433837            0.77638008069            0.58070201735            0.40373617147            5453383137800            0.89915633645             35.688806194
  23.5795070302   7.3931952202 -10.4010755042             1.3290784498            0.99119791302            0.76171504982          149193456010000            0.44241694448             61.979876956
  19.6543319309   6.7787018215  13.3857350480            0.73418722253            0.46901147122            0.35144342842            7587885721800             0.9167163205             29.109227207
  41.4738711476  12.4142083212  11.6582404001             1.2545905854            0.74516538778            0.51841324811            3884410108000            0.82731696942             41.150089619
  15.8866859923  17.7153791922  -4.3322068405             4.4321875713             1.6474477512             1.4084418232          894007824950000           0.067414935301             66.668290573
  27.6143059967   4.9035170678  -7.6369820325            0.61806385405            0.63904453195            0.46712692109           19617261669000            0.80694478222             44.987688738
  34.6241514849  -7.4727668010  18.4025843401             1.1347667015            0.69481163236            0.48252808328            3952296963400             0.8446585254             39.367234198
  25.0808229250  22.3501744864 -13.4776388941             0.9961130626            0.73529686679            0.59175553991          349327984550000           0.639363225386             57.615714707
  16.9566960651   2.5604292428 -12.1700605568             3.0758141111             1.4223170469             1.1774362534          533001261790000           0.090581974384             66.243308889
  48.5251341265  22.5166512008   5.9780270867             1.2402751862            0.75110536161            0.52416074426            3715421369400             0.8032836735             41.084997702
  25.3626744073  12.0335775304 -14.4379353910            1.24497882618            0.93786233237            0.74705532625          249258389390000            0.47799768489              61.33847512
  50.2806214644  -7.6905807349  -4.2008916155             1.0861327937            0.69828991229            0.48348508868            4108465866600            0.85941488103             40.564827142
  42.1777127602  -1.8910963113  14.7399822502             1.2406728901             0.7273825648            0.50821333833            3694443457000            0.83830137481             40.579348334
  29.8104824331   0.6721208420  23.1501195503             1.1387406789            0.66422972057            0.46809543843            4258224852200            0.85912582049             37.186967584
  32.2448329360  13.9792855447 -15.1639380715            1.00406230899            0.86529174002            0.66746346314          157898998290000            0.55973679822             60.391279753
  28.1375752563   4.0951598729 -10.6799968950            0.69901807449            0.70688435213            0.51637111343           29411615869000            0.74381773446             47.888267779
  53.3684690544  14.1163240674   6.6237979864             1.4013309307             0.8133230508            0.56123940487            3437755390400            0.78584626759             43.710868337
  16.8959537430  -6.9655280203 -10.6611544804             1.2477716312            0.95844165854            0.74294264808          158266985810000            0.47182941438             61.690279638
  16.5100187722  14.3272617123   4.4038223485             1.3002616687            0.97820510932            0.75145031776          136999753090000            0.47896858351             61.476289185
  17.7714576959  24.2977287422  -9.1709990536             4.0601429324             1.5855347759             1.3434803046          843964140910000            0.08007918631             66.699294351
  46.3111953170  16.5327107676   5.5781122562             1.2330304558            0.75569593141            0.52283107757            3762913032300            0.81168434422             41.888495358
  50.9485704814  -5.5101953785   8.2901615226             1.2956043513            0.76293926559            0.52735629538            3505059525900            0.82533488751             41.875309351
  25.0632805725  12.0240125621   4.0949184567            0.63636489855            0.53992319264            0.40301223195            9884093047600             0.8843869945             39.677975536
