            L,G            L,C            G,P            C,W            P,C            P,W            G,C            G,W                      MSE                     RMSE                      MAE                     MAPE                       R2                    SMAPE
  17.2507533419   9.2298493745  23.0356517625  51.2313700264  -6.4102231334  12.5679223058  18.3537750541   6.2801019338             1.4121293143            0.75123693422            0.53487449468           12575967110000            0.83331716743             40.984279379
   4.2469905438  13.9028444622   3.3570607663  31.1425009040  32.7383194226   9.4965393673  19.9406511922   5.7157487916              0.773574645            0.55479067983            0.41106619415            6633973428700            0.88308553308             39.035433456
  11.7988446312  22.7892258988  16.6334018509  18.7993295476  16.3978911074   2.5934910954  11.7699302566  16.9776657547            0.82383324704            0.53120754173            0.40518405853            7778726452400            0.88942134457             35.917026542
   2.3884302481  15.5541542245   2.0785658609  15.6790076273  25.9792257625 -10.3734336831   3.0586668739  11.8991189776            0.53662931359            0.46055939213             0.3535446613            8560736408200             0.9131704032             39.419810719
  25.7154361123   2.3135126088   4.9331233367  46.0751833025  13.0754469121 -17.2833142392   9.2375045092   4.7108511185             1.0116480388            0.61982060457            0.43639955625            5005854340300            0.88585572251             36.369570627
   8.9301721087  24.1450585812  29.7470816635  36.6795899917  -6.4292168323 -20.7939250674  -2.5884661929   5.7197090702            0.81782002038            0.51950042288            0.37499736542            7360042284600            0.89159482078             35.396064005
  21.0287178622  16.4559575265   1.2444156492  33.9261740447  26.6212616044 -10.3302040692  17.7261674186   8.4899177578            0.81720312056            0.70369639619            0.51816461836           17814618005000            0.78735472274             49.010557158
  24.9266362733  30.0671726542  30.2489978299  41.9791023958  29.6452565151 -16.4353135126   9.7558570022  -7.0572150168             1.0829482662              0.898316916             0.6959090869          168170599990000            0.53914967895             60.567654045
  26.6917259857   0.2580145253   3.4803766217  15.8166985824  24.0775761375 -18.9523779623  -7.0897664629   4.3262717371            0.63300622144             0.6791486383            0.50399038477           41177893832000            0.75451245004             52.775114407
  18.9555695124  29.9340909735  11.2681104054  42.2092073166  28.7529625206  -9.7098483031  21.4189022517  12.7366382832            0.92475402872            0.71498442401            0.52920889837           19110004095000             0.7940837532             49.448682962
  31.2969256403  -2.3179844049  11.3797013925  46.6436205248  25.2594702073  -7.6327880192  11.8705044828  15.7417430898              1.252635182            0.68712233988            0.48685231169            3234386184200            0.86135652514             38.628611236
   9.9809030451  29.1482153840  -4.3996079699  23.5737505405  -4.3957393833 -20.7992796840  -5.2284034476  20.6294654154            0.84984975453            0.56666257731            0.41271606616            7054988475700            0.86550309824               36.6909987
   5.2276210359  -3.9215554783  17.6305491388  33.5797815112   0.3141582884  15.6452029141   0.8144330970  12.2873952975             1.2983152304            0.78613724477            0.55936732319           52791790569000            0.77415696259             42.816192533
  20.6885513574  16.2983754485  -0.5107091060  20.9266341890   7.8037701250  -2.7502475466  16.2274288534 -15.4504560611             4.2439164857              1.620670707             1.3783207147          881633770250000           0.071732503707             66.656124962
  -2.7576386707  23.3368272255  -1.1020266254  39.2901842620   5.4655270863 -11.9053567323 -13.4615080631  20.2991660425             1.1587458293            0.70896131602            0.49779707276            4464799017200            0.80988709256             42.410493134
  -0.5581403314   2.1318970718  -0.0892712397  18.2675343833  18.3786230464 -13.8836593663  -6.7151671737  -7.3916087376            0.41670597821            0.52658513984            0.38882077944           24375460101000            0.85973986366             44.990753952
   5.3500626460  -2.5596368839   1.9766259620  24.1691452104   3.1346362271 -22.9605639354  -6.3026238538  17.6692947514            0.76782602362            0.57077185344            0.41309789597           18536607823000            0.88261357438             39.915827855
   3.3596427433  34.0899470995   4.5229187894  24.4964328726  30.1951231795  -4.7360061941  14.7677533681  -0.9346620971            0.59417082092            0.64253065602            0.49576409614          191544364780000            0.74341846969             55.717234692
  20.8343646537   8.9775790302  -0.9866433837  49.0380356633   4.8615814430  -8.6228113496  -5.1189762294  22.6692814674              1.360282047             0.7425168181            0.51917593344            4554537864400            0.82763968693             41.225699767
