            L,G            L,C            G,P            C,W            P,C            P,W            G,C            G,W                      MSE                     RMSE                      MAE                     MAPE                       R2                    SMAPE
  17.2507533419   9.2298493745  23.0356517625  51.2313700264  -6.4102231334  12.5679223058  18.3537750541   6.2801019338             1.4471031729            0.76249336432            0.54494903823           17305320909000            0.83261904049             41.058393384
   4.2469905438  13.9028444622   3.3570607663  31.1425009040  32.7383194226   9.4965393673  19.9406511922   5.7157487916              0.793689987        0.540557644444444        0.401969985733333         6595740535666.67        0.888601856577778         36.3092136277778
  11.7988446312  22.7892258988  16.6334018509  18.7993295476  16.3978911074   2.5934910954  11.7699302566  16.9776657547            0.84084411414            0.53430410057             0.4074804113            9100043572100            0.88894700658               34.7574968
   2.3884302481  15.5541542245   2.0785658609  15.6790076273  25.9792257625 -10.3734336831   3.0586668739  11.8991189776        0.550585081922222        0.447721118911111        0.343661466677778         8949928480222.22        0.917424962011111         36.9027985666667
  25.7154361123   2.3135126088   4.9331233367  46.0751833025  13.0754469121 -17.2833142392   9.2375045092   4.7108511185         1.03303982266667        0.626973258377778        0.444143291588889         7612910299444.44        0.882501015677778              36.98192967
   8.9301721087  24.1450585812  29.7470816635  36.6795899917  -6.4292168323 -20.7939250674  -2.5884661929   5.7197090702           0.827781961475          0.5173243511875             0.3767384692            8948390747625          0.8922301524125            35.5783497425
  21.0287178622  16.4559575265   1.2444156492  33.9261740447  26.6212616044 -10.3302040692  17.7261674186   8.4899177578          0.8031211083125             0.6760621585          0.4960295407125           13218269996250          0.8095509064875              45.81371847
  24.9266362733  30.0671726542  30.2489978299  41.9791023958  29.6452565151 -16.4353135126   9.7558570022  -7.0572150168         1.09022901122222        0.900960993055556        0.696044805611111          161820637711111        0.540499623133333         60.3751993022222
  26.6917259857   0.2580145253   3.4803766217  15.8166985824  24.0775761375 -18.9523779623  -7.0897664629   4.3262717371             0.5434629215            0.59519547914            0.44072774469           27974920231000            0.83567559439             46.532819521
  18.9555695124  29.9340909735  11.2681104054  42.2092073166  28.7529625206  -9.7098483031  21.4189022517  12.7366382832            0.93263240213            0.70838539842            0.52363032045           17692829569000            0.80022383459             48.794295211
